Company,QuestionType,Topic,Difficulty,Title,Description,Answer,TimeComplexity,SpaceComplexity,InterviewTip
Google,Technical,Arrays,Easy,Two Sum,Find two numbers in an array whose sum equals a target value.,Use a HashMap to store previously seen numbers and check whether the complement exists while iterating through the array.,O(n),O(n),Explain the brute-force O(n²) solution first before optimizing with a HashMap.

Google,Technical,Strings,Easy,Valid Anagram,Determine whether two strings are anagrams of each other.,Count character frequencies using a HashMap or sort both strings and compare them.,O(n),O(1),Mention both sorting and frequency-count approaches.

Google,Technical,Strings,Medium,Longest Substring Without Repeating Characters,Find the length of the longest substring without duplicate characters.,Use the Sliding Window technique with a HashMap to track the latest index of each character.,O(n),O(n),Explain why the window moves instead of restarting.

Google,Technical,Arrays,Medium,Product of Array Except Self,Return an array where each element equals the product of all other elements.,Compute prefix and suffix products without using division.,O(n),O(1),Mention why division is not allowed.

Google,Technical,Binary Search,Medium,Binary Search,Search for a target element in a sorted array.,Repeatedly divide the search space into halves until the target is found.,O(log n),O(1),Always mention the array must be sorted.

Google,Technical,Linked List,Easy,Reverse Linked List,Reverse a singly linked list.,Iteratively reverse pointers using previous current and next pointers.,O(n),O(1),Explain both iterative and recursive approaches.

Google,Technical,Trees,Medium,Maximum Depth of Binary Tree,Find the maximum depth of a binary tree.,Use recursive DFS or iterative BFS to calculate tree depth.,O(n),O(h),Explain why DFS naturally computes height.

Google,Technical,Graphs,Medium,Number of Islands,Count the number of islands in a grid.,Use DFS or BFS to traverse connected land cells and mark them visited.,O(m×n),O(m×n),Discuss both DFS and BFS solutions.

Google,Technical,Dynamic Programming,Medium,Climbing Stairs,Count the number of distinct ways to reach the top of a staircase.,Recognize the Fibonacci pattern and use dynamic programming.,O(n),O(1),Explain recursive solution before optimizing.

Google,Technical,Hashing,Medium,Group Anagrams,Group words that are anagrams of each other.,Use sorted strings or character frequency as the HashMap key.,O(n×k log k),O(n),Explain why identical sorted strings belong to the same group.

Google,Technical,Stack,Medium,Min Stack,Design a stack that supports retrieving the minimum element in constant time.,Maintain an additional stack that keeps track of the minimum value.,O(1),O(n),Mention why an auxiliary stack is needed.

Google,Technical,Queue,Medium,Implement Queue using Stacks,Implement a queue using two stacks.,Use one stack for enqueue and another for dequeue operations.,Amortized O(1),O(n),Explain lazy transfer between stacks.

Google,Technical,Heap,Medium,Kth Largest Element in an Array,Find the kth largest element in an unsorted array.,Use a min heap of size k or QuickSelect.,O(n log k),O(k),Mention both Heap and QuickSelect approaches.

Google,Technical,Trie,Medium,Implement Trie,Design a Trie supporting insert search and startsWith.,Store characters in Trie nodes with child pointers.,O(L),O(L),Explain why Trie is efficient for prefix searches.

Google,Technical,Greedy,Medium,Jump Game,Determine whether you can reach the last index.,Track the farthest reachable index while traversing the array.,O(n),O(1),Explain why greedy works.

Google,Technical,Recursion,Easy,Fibonacci Number,Return the nth Fibonacci number.,Use recursion with memoization or iterative dynamic programming.,O(n),O(1),Mention why naive recursion is exponential.

Google,Technical,Bit Manipulation,Easy,Single Number,Find the element that appears only once.,Use XOR to cancel duplicate values.,O(n),O(1),Explain XOR properties.

Google,Technical,SQL,Medium,Second Highest Salary,Write an SQL query to find the second highest salary.,Use ORDER BY with LIMIT/OFFSET or a subquery using MAX.,O(n log n),O(1),Mention handling duplicate salaries.

Google,Technical,OOPS,Medium,Factory Design Pattern,Explain the Factory Design Pattern.,Describe how object creation is delegated to subclasses or factory methods.,N/A,N/A,Give a real-world example.

